2025-11-07T21:51:48.633530200Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/geventlet.py", line 142, in init_process
2025-11-07T21:51:48.633536601Z [err]      super().init_process()
2025-11-07T21:51:48.633542084Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 135, in init_process
2025-11-07T21:51:48.633546089Z [err]      self.load_wsgi()
2025-11-07T21:51:48.633552444Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/workers/base.py", line 147, in load_wsgi
2025-11-07T21:51:48.633557399Z [err]      self.wsgi = self.app.wsgi()
2025-11-07T21:51:48.633562090Z [err]                  ^^^^^^^^^^^^^^^
2025-11-07T21:51:48.633567324Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/base.py", line 66, in wsgi
2025-11-07T21:51:48.633572052Z [err]      self.callable = self.load()
2025-11-07T21:51:48.633576255Z [err]                      ^^^^^^^^^^^
2025-11-07T21:51:48.633581912Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 57, in load
2025-11-07T21:51:48.633587338Z [err]      return self.load_wsgiapp()
2025-11-07T21:51:48.633594184Z [err]             ^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:48.633600424Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/app/wsgiapp.py", line 47, in load_wsgiapp
2025-11-07T21:51:48.633605881Z [err]      return util.import_app(self.app_uri)
2025-11-07T21:51:48.633610152Z [err]             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:48.633614270Z [err]    File "/usr/local/lib/python3.11/site-packages/gunicorn/util.py", line 370, in import_app
2025-11-07T21:51:48.635253466Z [err]      from supabase_client import supabase_client
2025-11-07T21:51:48.635260393Z [err]    File "/app/supabase_client.py", line 4, in <module>
2025-11-07T21:51:48.635265865Z [err]      import supabase
2025-11-07T21:51:48.635268646Z [err]      mod = importlib.import_module(module)
2025-11-07T21:51:48.635271333Z [err]    File "/usr/local/lib/python3.11/site-packages/supabase/__init__.py", line 22, in <module>
2025-11-07T21:51:48.635276164Z [err]      from ._async.auth_client import AsyncSupabaseAuthClient as ASupabaseAuthClient
2025-11-07T21:51:48.635280068Z [err]            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-07T21:51:48.635287720Z [err]    File "/usr/local/lib/python3.11/importlib/__init__.py", line 126, in import_module
